sender,receiver,dist
@VPannabecker,@lisresearch,1
@ChrisTheCat,@meansell,2
@VPannabecker,@hurstej,16
@pfanderson,@librarianlizy,7
@angspenc,@librarianlizy,7
@s_schulte,@jshira11,1
@mandosally,@a_suiter,1
@laurissagann,@pfanderson,3
@laurissagann,@berrymand,1
@laurissagann,@umich,1
@laurissagann,@mlibraryhealthy,1
@wonderbrarian,@akaur0,1
@akepsel,@carolinafan1982,1
@akepsel,@s_schulte,5
@akepsel,@mandosally,3
@cwolffeisenberg,@lisalibrarian,4
@cwolffeisenberg,@ithakasr,1
@angspenc,@a_suiter,2
@CarolinaFan1982,@katzs44,1
@CarolinaFan1982,@s_schulte,1
@CarolinaFan1982,@mandosally,1
@pfanderson,@katzs44,3
@pfanderson,@mandosally,11
@ChelseaMisquith,@endnotenews,1
@s_schulte,@katzs44,1
@s_schulte,@mandosally,1
@pfanderson,@aimeegogan,1
@katzs44,@mandosally,1
@pfanderson,@a_suiter,1
@hurstej,@meansell,1
@akaur0,@lamedboheme73,1
@pfanderson,@berrymand,9
@akaur0,@jshira11,1
@pfanderson,@hs_librarian,2
@akaur0,@cddslib,3
@akaur0,@christhecat,3
@pfanderson,@libraryatnight,3
@referencediva,@berrymand,1
@akepsel,@jshira11,1
@HS_Librarian,@mandosally,1
@akepsel,@berrymand,2
@angspenc,@lamedboheme73,1
@s_schulte,@pfanderson,1
@s_schulte,@berrymand,1
@s_schulte,@umich,1
@s_schulte,@mlibraryhealthy,1
@pfanderson,@lamedboheme73,1
@akaur0,@wrenaissance,3
@akaur0,@s_schulte,4
@akaur0,@nnlmmar,2
@pfanderson,@umich,2
@pfanderson,@mlibraryhealthy,1
@HS_Librarian,@hurstej,5
@akepsel,@pfanderson,1
@mlrethlefsen,@infocybrarian,1
@akaur0,@sagelibrarynews,2
@akaur0,@nlm_dimrc,1
@ChrisTheCat,@referencediva,3
@ChrisTheCat,@wrenaissance,2
@ChrisTheCat,@libraryatnight,3
@ItsKelsaB,@endnotenews,1
@akaur0,@chicalibrarian,4
@akaur0,@kdnyhan,3
@pfanderson,@angspenc,6
@jshira11,@mandosally,1
@lisalibrarian,@ithakasr,1
@JMBurns99,@ajaggers324,1
@akaur0,@berrymand,3
@akaur0,@mhmedical,1
@pfanderson,@janicekung,6
@pfanderson,@wichor,29
@akaur0,@annaburl,2
@angspenc,@medlibassn,2
@akaur0,@mandosally,4
@janicekung,@wichor,1
@pfanderson,@kdnyhan,23
@FHSLAorg,@lulu_219,1
@FHSLAorg,@ufhscl,1
@pfanderson,@annaburl,1
@BabskiDianne,@almaderdouglas,1
@meansell,@christhecat,2
@meansell,@angspenc,1
@MelanieLybarger,@akaur0,1
@MelanieLybarger,@chiuchiutrain,1
@MelanieLybarger,@medlibassn,1
@doujouDC,@evardell,1
@akaur0,@hurstej,17
@referencediva,@wrenaissance,1
@referencediva,@libraryatnight,2
@hurstej,@medlibassn,5
@akaur0,@bgreen1005,2
@rlgunt2001,@evardell,1
@angspenc,@hurstej,5
@referencediva,@chicalibrarian,1
@referencediva,@kdnyhan,3
@BeckerLibrary,@a_suiter,1
@BeckerLibrary,@beckerlibrary,1
@akaur0,@librarianlizy,5
@ChrisTheCat,@angspenc,1
@VPannabecker,@chiuchiutrain,1
@ChelseaMisquith,@wichor,1
@akaur0,@chiuchiutrain,1
@VPannabecker,@aimeegogan,1
@MelanieLybarger,@runbrarian,1
@VPannabecker,@infocybrarian,2
@VPannabecker,@runbrarian,1
@Wrenaissance,@pfanderson,2
@a_suiter,@beckerlibrary,1
@bgreen1005,@referencediva,1
@VPannabecker,@lulu_219,1
@VPannabecker,@wichor,3
@ccuchens,@angspenc,1
@ccuchens,@ebsco_health,2
@VPannabecker,@almaderdouglas,1
@JoleneMiller419,@hyattchicago,1
@VPannabecker,@jjpionke,3
@VPannabecker,@chelseamisquith,1
@charlescott,@libraryatnight,1
@pageaslibrary,@greggs54,1
@giustini,@janicekung,2
@LuLu_219,@wichor,1
@KDNyhan,@m_blankstein,1
@KDNyhan,@lisalibrarian,2
@bgreen1005,@lisam695,1
@JThwaite_Lex,@charlesrowman,1
@JThwaite_Lex,@rlpgbooks,1
@NoetheMatt,@evardell,3
@NoetheMatt,@christhecat,4
@NoetheMatt,@ajaggers324,1
@NoetheMatt,@margotmal,1
@NoetheMatt,@wonderbrarian,2
@NoetheMatt,@hurstej,4
@NoetheMatt,@pfanderson,1
@NoetheMatt,@medlibassn,1
@NoetheMatt,@lisalibrarian,1
@NoetheMatt,@meganthreats,1
@NoetheMatt,@csoehner,1
@NoetheMatt,@libraryatnight,2
@valeriegp,@hurstej,2
@akaur0,@librarianwalker,2
@LMLibrarian,@hurstej,4
@billchase2edu,@jimeddypa,1
@AJaggers324,@hurstej,3
@VPannabecker,@yiphilly,1
@LADYLIBRATOO,@hurstej,1
@LADYLIBRATOO,@medlibassn,1
@akepsel,@wonderbrarian,1
@akaur0,@yiphilly,1
@MelanieLybarger,@janicekung,1
@pfanderson,@hurstej,12
@billchase2edu,@pfanderson,11
@VPannabecker,@meansell,3
@CDDSlib,@hurstej,2
@ChrisTheCat,@janicekung,2
@laurissagann,@hurstej,4
@hurstej,@berrymand,1
@laurissagann,@libraryatnight,1
@MSKCC_Library,@medlibassn,1
@Annaburl,@greggs54,1
@referencediva,@sitstayread,1
@VisualDx,@wichor,2
@VisualDx,@akaur0,4
@pfanderson,@greggs54,1
@AJaggers324,@libraryatnight,1
@VPannabecker,@hs_librarian,1
@akaur0,@mindwell1,1
